Record,Date,Time,Temp [C]
1,11/13/2024,1:36:23 PM,183.9
2,11/13/2024,1:36:28 PM,184.1
3,11/13/2024,1:36:33 PM,178.8
4,11/13/2024,1:36:38 PM,161.9
5,11/13/2024,1:36:43 PM,147.7
6,11/13/2024,1:36:48 PM,135.8
7,11/13/2024,1:36:53 PM,126.4
8,11/13/2024,1:36:58 PM,119.4
9,11/13/2024,1:37:03 PM,114
10,11/13/2024,1:37:08 PM,108.4
11,11/13/2024,1:37:13 PM,103.5
12,11/13/2024,1:37:18 PM,99.9
13,11/13/2024,1:37:23 PM,96.5
14,11/13/2024,1:37:28 PM,94.4
15,11/13/2024,1:37:33 PM,91
16,11/13/2024,1:37:38 PM,87.4
17,11/13/2024,1:37:43 PM,85.4
18,11/13/2024,1:37:48 PM,85
19,11/13/2024,1:37:53 PM,82.6
20,11/13/2024,1:37:58 PM,79.6
21,11/13/2024,1:38:03 PM,76.3
22,11/13/2024,1:38:08 PM,74.8
23,11/13/2024,1:38:13 PM,74.9
24,11/13/2024,1:38:18 PM,74
25,11/13/2024,1:38:23 PM,72.8
26,11/13/2024,1:38:28 PM,69
27,11/13/2024,1:38:33 PM,66.5
28,11/13/2024,1:38:38 PM,64.6
29,11/13/2024,1:38:43 PM,63.9
30,11/13/2024,1:38:48 PM,63.8
31,11/13/2024,1:38:53 PM,64.7
32,11/13/2024,1:38:58 PM,62.9
33,11/13/2024,1:39:03 PM,62.9
34,11/13/2024,1:39:08 PM,62.8
35,11/13/2024,1:39:13 PM,62
36,11/13/2024,1:39:18 PM,62.6
37,11/13/2024,1:39:23 PM,75.3
38,11/13/2024,1:39:28 PM,84.3
39,11/13/2024,1:39:33 PM,90.3
40,11/13/2024,1:39:38 PM,93.9
41,11/13/2024,1:39:43 PM,97
42,11/13/2024,1:39:48 PM,99.4
43,11/13/2024,1:39:53 PM,101.7
44,11/13/2024,1:39:58 PM,103.6
45,11/13/2024,1:40:03 PM,105.6
46,11/13/2024,1:40:08 PM,107
47,11/13/2024,1:40:13 PM,108.4
48,11/13/2024,1:40:18 PM,109.9
49,11/13/2024,1:40:23 PM,111.5
50,11/13/2024,1:40:28 PM,112.8
51,11/13/2024,1:40:33 PM,114.1
52,11/13/2024,1:40:38 PM,115.5
53,11/13/2024,1:40:43 PM,116.7
54,11/13/2024,1:40:48 PM,118.1
55,11/13/2024,1:40:53 PM,119.2
56,11/13/2024,1:40:58 PM,120.3
57,11/13/2024,1:41:03 PM,121.4
58,11/13/2024,1:41:08 PM,122.5
59,11/13/2024,1:41:13 PM,123.3
60,11/13/2024,1:41:18 PM,124.3
61,11/13/2024,1:41:23 PM,125.4
62,11/13/2024,1:41:28 PM,126.4
63,11/13/2024,1:41:33 PM,127.4
64,11/13/2024,1:41:38 PM,128.4
65,11/13/2024,1:41:43 PM,129.2
66,11/13/2024,1:41:48 PM,130.1
67,11/13/2024,1:41:53 PM,131.1
68,11/13/2024,1:41:58 PM,132
69,11/13/2024,1:42:03 PM,132.9
70,11/13/2024,1:42:08 PM,133.9
71,11/13/2024,1:42:13 PM,134.7
72,11/13/2024,1:42:18 PM,135.4
73,11/13/2024,1:42:23 PM,136.3
74,11/13/2024,1:42:28 PM,137.2
75,11/13/2024,1:42:33 PM,138.1
76,11/13/2024,1:42:38 PM,138.8
77,11/13/2024,1:42:43 PM,139.8
78,11/13/2024,1:42:48 PM,140.8
79,11/13/2024,1:42:53 PM,141.3
80,11/13/2024,1:42:58 PM,142
81,11/13/2024,1:43:03 PM,142.9
82,11/13/2024,1:43:08 PM,143.6
83,11/13/2024,1:43:13 PM,144.4
84,11/13/2024,1:43:18 PM,145.2
85,11/13/2024,1:43:23 PM,146
86,11/13/2024,1:43:28 PM,146.6
87,11/13/2024,1:43:33 PM,147.2
88,11/13/2024,1:43:38 PM,148
89,11/13/2024,1:43:43 PM,148.6
90,11/13/2024,1:43:48 PM,149.5
91,11/13/2024,1:43:53 PM,150.3
92,11/13/2024,1:43:58 PM,151
93,11/13/2024,1:44:03 PM,151.6
94,11/13/2024,1:44:08 PM,152.1
95,11/13/2024,1:44:13 PM,152.8
96,11/13/2024,1:44:18 PM,153.5
